scenario,slice,metric,agent_a,agent_b,mean_delta,effect_size_dz,effect_size_label,favored_agent
treatment_allocation_confounding,overall,success_rate,baseline,causal_light,-0.06250000000000001,-7.508742535388292,large,causal_light
treatment_allocation_confounding,overall,near_optimal_rate,baseline,causal_light,-0.06263888888888887,-14.801900530093516,large,causal_light
treatment_allocation_confounding,overall,avg_cost,baseline,causal_light,0.0711972222222222,9.348991810765822,large,causal_light
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,causal_light,0.0361761392077601,7.499720569063313,large,causal_light
treatment_allocation_confounding,normal,success_rate,baseline,causal_light,-0.05949999999999996,-3.9634651595537407,large,causal_light
treatment_allocation_confounding,normal,near_optimal_rate,baseline,causal_light,-0.04841666666666671,-9.106871894196757,large,causal_light
treatment_allocation_confounding,normal,avg_cost,baseline,causal_light,0.059850000000000014,5.496348320251118,large,causal_light
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,causal_light,0.03220668067522733,3.249212579876594,large,causal_light
treatment_allocation_confounding,surface_shift,success_rate,baseline,causal_light,-0.037916666666666606,-3.5219695260213064,large,causal_light
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,causal_light,-0.02941666666666669,-4.0409787395158325,large,causal_light
treatment_allocation_confounding,surface_shift,avg_cost,baseline,causal_light,0.03783333333333332,2.8001433416993535,large,causal_light
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,causal_light,0.0013321123947305318,0.17807649554167038,negligible,causal_light
treatment_allocation_confounding,adversarial,success_rate,baseline,causal_light,-0.09008333333333333,-5.874211390338759,large,causal_light
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,causal_light,-0.11008333333333331,-12.917163998361955,large,causal_light
treatment_allocation_confounding,adversarial,avg_cost,baseline,causal_light,0.11590833333333332,8.586414608055064,large,causal_light
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,causal_light,0.05795973513395911,5.739862398639622,large,causal_light
treatment_allocation_confounding,degradation,success_rate_drop,baseline,causal_light,0.03058333333333336,1.2754215679967298,large,causal_light
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,causal_light,0.02575305445873179,1.4782415676697203,large,causal_light
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,causal_light,0.06166666666666661,5.329599662615781,large,causal_light
treatment_allocation_confounding,overall,success_rate,baseline,stability_filtered,-0.03683333333333333,-0.7994643273094008,medium,stability_filtered
treatment_allocation_confounding,overall,near_optimal_rate,baseline,stability_filtered,-0.06255555555555554,-10.814205394024706,large,stability_filtered
treatment_allocation_confounding,overall,avg_cost,baseline,stability_filtered,0.07517638888888885,0.8334399532486995,large,stability_filtered
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,stability_filtered,0.056248554113574524,5.554328589042516,large,stability_filtered
treatment_allocation_confounding,normal,success_rate,baseline,stability_filtered,-0.028166666666666663,-0.6334982704458785,medium,stability_filtered
treatment_allocation_confounding,normal,near_optimal_rate,baseline,stability_filtered,-0.04775000000000004,-6.089982987753539,large,stability_filtered
treatment_allocation_confounding,normal,avg_cost,baseline,stability_filtered,0.057083333333333285,0.6550147190556065,medium,stability_filtered
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,stability_filtered,0.05527904683711312,3.589154882819983,large,stability_filtered
treatment_allocation_confounding,surface_shift,success_rate,baseline,stability_filtered,-0.006916666666666654,-0.1516880621527825,negligible,stability_filtered
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,stability_filtered,-0.02858333333333336,-4.024346178758913,large,stability_filtered
treatment_allocation_confounding,surface_shift,avg_cost,baseline,stability_filtered,0.03234583333333329,0.35450933554412695,small,stability_filtered
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,stability_filtered,0.0010892655371117377,0.1486992076561149,negligible,stability_filtered
treatment_allocation_confounding,adversarial,success_rate,baseline,stability_filtered,-0.0754166666666667,-1.3928988444369979,large,stability_filtered
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,stability_filtered,-0.11133333333333333,-10.191645901545792,large,stability_filtered
treatment_allocation_confounding,adversarial,avg_cost,baseline,stability_filtered,0.13609999999999992,1.4308039761917655,large,stability_filtered
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,stability_filtered,0.09478943365083113,4.9037019914118085,large,stability_filtered
