scenario,slice,metric,agent_a,agent_b,n_paired_seeds,paired_seeds,seed_set_matches_reference,mean_a,mean_b,mean_delta,ci_lower,ci_upper,ci_method,p_value,p_value_paired_t,effect_size_dz,effect_size_label,favored_agent,family,family_size,p_value_holm,p_value_bh,p_value_paired_t_holm,p_value_paired_t_bh
treatment_allocation_confounding,overall,success_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.6441666666666667,0.7066666666666666,-0.06250000000000001,-0.06778858264494413,-0.057211417355055895,student_t,0.00048828125,3.1386870633936833e-11,-7.508742535388292,large,causal_light,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,9.102192483841682e-10,9.78415139302037e-11
treatment_allocation_confounding,overall,near_optimal_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9325555555555556,0.9951944444444444,-0.06263888888888887,-0.06532765518393324,-0.059950122593844496,student_t,0.00048828125,1.909200883589287e-14,-14.801900530093516,large,causal_light,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,6.491283004203576e-13,1.0909719334795925e-13
treatment_allocation_confounding,overall,avg_cost,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.4325097222222221,0.3613125,0.0711972222222222,0.06635856606147204,0.07603587838297236,student_t,0.00048828125,2.898225538993334e-12,9.348991810765822,large,causal_light,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,8.984499170879336e-11,1.1592902155973337e-11
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.06571667773088827,0.029540538523128174,0.0361761392077601,0.03311132871975491,0.03924094969576528,student_t,0.00048828125,3.17984920273162e-11,7.499720569063313,large,causal_light,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,9.102192483841682e-10,9.78415139302037e-11
treatment_allocation_confounding,normal,success_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.6503333333333333,0.7098333333333334,-0.05949999999999996,-0.06903824365149211,-0.049961756348507816,student_t,0.00048828125,2.8816466758889234e-08,-3.9634651595537407,large,causal_light,treatment_allocation_confounding::normal,40,0.01953125,0.0008491847826086956,8.068610692488986e-07,8.866605156581303e-08
treatment_allocation_confounding,normal,near_optimal_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9474166666666665,0.9958333333333332,-0.04841666666666671,-0.05179460837034582,-0.0450387249629876,student_t,0.00048828125,3.8570073091623464e-12,-9.106871894196757,large,causal_light,treatment_allocation_confounding::normal,40,0.01953125,0.0008491847826086956,1.3113824851151978e-10,2.2040041766641978e-11
treatment_allocation_confounding,normal,avg_cost,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.4185583333333333,0.35870833333333324,0.059850000000000014,0.052931429056000734,0.0667685709439993,student_t,0.00048828125,9.053458387687905e-10,5.496348320251118,large,causal_light,treatment_allocation_confounding::normal,40,0.01953125,0.0008491847826086956,2.7160375163063716e-08,3.2921666864319657e-09
treatment_allocation_confounding,normal,fairness_gap_ses,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.07637281643608342,0.044166135760856096,0.03220668067522733,0.02590880138064656,0.03850455996980809,student_t,0.00048828125,2.2404084268379807e-07,3.249212579876594,large,causal_light,treatment_allocation_confounding::normal,40,0.01953125,0.0008491847826086956,5.601021067094952e-06,5.601021067094952e-07
treatment_allocation_confounding,surface_shift,success_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.67625,0.7141666666666665,-0.037916666666666606,-0.04475690207090082,-0.03107643126243239,student_t,0.00048828125,9.80958345750421e-08,-3.5219695260213064,large,causal_light,treatment_allocation_confounding::surface_shift,40,0.01953125,0.0011488970588235295,2.844779202676221e-06,3.2698611525014035e-07
treatment_allocation_confounding,surface_shift,near_optimal_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9688333333333333,0.99825,-0.02941666666666669,-0.034041897212788115,-0.024791436120545268,student_t,0.00048828125,2.3536428394036465e-08,-4.0409787395158325,large,causal_light,treatment_allocation_confounding::surface_shift,40,0.01953125,0.0011488970588235295,7.296292802151305e-07,8.935942691886997e-08
treatment_allocation_confounding,surface_shift,avg_cost,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.3836583333333332,0.3458249999999999,0.03783333333333332,0.02924871810574549,0.04641794856092116,student_t,0.00048828125,1.0014797216131018e-06,2.8001433416993535,large,causal_light,treatment_allocation_confounding::surface_shift,40,0.01953125,0.0011488970588235295,2.804143220516685e-05,3.081476066501852e-06
treatment_allocation_confounding,surface_shift,fairness_gap_ses,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.01819440050903006,0.016862288114299528,0.0013321123947305318,-0.0034208104048301198,0.006085035194291184,student_t,0.54345703125,0.549871755064632,0.17807649554167038,negligible,causal_light,treatment_allocation_confounding::surface_shift,40,1.0,0.6393612132352942,1.0,0.6469079471348612
treatment_allocation_confounding,adversarial,success_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.6059166666666665,0.6960000000000001,-0.09008333333333333,-0.09982697644219582,-0.08033969022447085,student_t,0.00048828125,4.439031344675297e-10,-5.874211390338759,large,causal_light,treatment_allocation_confounding::adversarial,40,0.01953125,0.0006734913793103449,1.376099716849342e-08,1.7756125378701189e-09
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.8814166666666668,0.9915000000000003,-0.11008333333333331,-0.11549811424723268,-0.10466855241943394,student_t,0.00048828125,8.484580749180584e-14,-12.917163998361955,large,causal_light,treatment_allocation_confounding::adversarial,40,0.01953125,0.0006734913793103449,2.8847574547213988e-12,4.848331856674619e-13
treatment_allocation_confounding,adversarial,avg_cost,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.4953124999999999,0.3794041666666666,0.11590833333333332,0.10733145405712909,0.12448521260953756,student_t,0.00048828125,7.317666999887335e-12,8.586414608055064,large,causal_light,treatment_allocation_confounding::adversarial,40,0.01953125,0.0006734913793103449,2.341653439963947e-10,3.252296444394371e-11
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.10854271358594247,0.050582978451983375,0.05795973513395911,0.05154392649046048,0.06437554377745774,student_t,0.00048828125,5.69004694663678e-10,5.739862398639622,large,causal_light,treatment_allocation_confounding::adversarial,40,0.01953125,0.0006734913793103449,1.707014083991034e-08,2.069107980595193e-09
treatment_allocation_confounding,degradation,success_rate_drop,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.044416666666666695,0.013833333333333336,0.03058333333333336,0.015347803822904186,0.045818862843762534,student_t,0.00341796875,0.0010316042639860778,1.2754215679967298,large,causal_light,treatment_allocation_confounding::degradation,30,0.041015625,0.005396792763157895,0.0146767173062991,0.0018204781129166079
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.032169897149859066,0.006416842691127276,0.02575305445873179,0.014684017761987628,0.03682209115547595,student_t,0.00048828125,0.00033306450317156024,1.4782415676697203,large,causal_light,treatment_allocation_confounding::degradation,30,0.0146484375,0.0013316761363636363,0.005995161057088084,0.0007686103919343698
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,causal_light,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.06599999999999995,0.0043333333333333375,0.06166666666666661,0.05431505806585515,0.06901827526747807,student_t,0.00048828125,1.2585387454271225e-09,5.329599662615781,large,causal_light,treatment_allocation_confounding::degradation,30,0.0146484375,0.0013316761363636363,3.7756162362813675e-08,3.7756162362813675e-08
treatment_allocation_confounding,overall,success_rate,baseline,stability_filtered,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.6441666666666667,0.6809999999999999,-0.03683333333333333,-0.06610641367453499,-0.007560252992131672,student_t,0.01318359375,0.018245720994834413,-0.7994643273094008,medium,stability_filtered,treatment_allocation_confounding::overall,40,0.14501953125,0.017578125,0.20070293094317854,0.02432762799311255
treatment_allocation_confounding,overall,near_optimal_rate,baseline,stability_filtered,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.9325555555555556,0.9951111111111111,-0.06255555555555554,-0.06623089760111463,-0.058880213509996455,student_t,0.00048828125,5.920974430883478e-13,-10.814205394024706,large,stability_filtered,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,1.894711817882713e-11,2.631544191503768e-12
treatment_allocation_confounding,overall,avg_cost,baseline,stability_filtered,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.4325097222222221,0.3573333333333333,0.07517638888888885,0.01786596296485323,0.13248681481292446,student_t,0.00048828125,0.014781786372061791,0.8334399532486995,large,stability_filtered,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,0.1773814364647415,0.020388670858016263
treatment_allocation_confounding,overall,fairness_gap_ses,baseline,stability_filtered,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.06571667773088827,0.009468123617313754,0.056248554113574524,0.049814180333401376,0.06268292789374767,student_t,0.00048828125,8.091580638604337e-10,5.554328589042516,large,stability_filtered,treatment_allocation_confounding::overall,40,0.01953125,0.0007512019230769231,1.941979353265041e-08,1.903901326730432e-09
treatment_allocation_confounding,normal,success_rate,baseline,stability_filtered,12,"0,1,2,3,4,5,6,7,8,9,10,11",True,0.6503333333333333,0.6785000000000001,-0.028166666666666663,-0.05641654046739492,8.320713406159697e-05,student_t,0.0537109375,0.050569251368584686,-0.6334982704458785,medium,stability_filtered,treatment_allocation_confounding::normal,40,0.4833984375,0.067138671875,0.4045540109486775,0.061296062264951136
