agent,label,family,parameter,value,source
baseline,Baseline,policy baseline,baseline_action_thresholds,"[0.25, 0.5, 0.75]",configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_max_missing_before_failstate,0.6,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_disagreement_escalation,0.35,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_failstate_safety_margin,0.1,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_adaptive_window,30,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_adaptive_failure_trigger,0.4,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_adaptive_caution_bump,0.05,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_decay_total_threshold,60,configs/agents/baseline.yaml
baseline,Baseline,policy baseline,baseline_decay_factor,0.5,configs/agents/baseline.yaml
workflow,Workflow,adaptive workflow heuristic,action_thresholds,"[0.25, 0.5, 0.75]",configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,red_flag_symptom,0.85,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,red_flag_floor,0.75,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,low_avail_threshold,0.4,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,disagree_spread,0.35,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,adapt_every,50,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,adapt_blend,0.3,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,adapt_window,200,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,mnar_bump_workflow_base,0.03,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,mnar_bump_workflow_slope,0.07,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_initial_weight_symptom,0.4,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_initial_weight_labs,0.3,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_initial_weight_risk,0.3,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_lab_mean_weight,0.7,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_lab_max_weight,0.3,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_disagreement_margin,0.05,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_min_records_for_reweight,30,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_min_signal_values,20,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_min_split_count,5,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_quality_baseline,0.5,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_quality_gain,0.5,configs/agents/workflow.yaml
workflow,Workflow,adaptive workflow heuristic,workflow_quality_diff_scale,0.5,configs/agents/workflow.yaml
